Opponent,id,Day,Time,prediction,lower_bound,upper_bound
Clemson,103,Saturday,Afternoon,65.34843803,34.94162487,122.2157919
Clemson,226L,Saturday,Afternoon,55.63916654,29.73164021,104.1219668
Clemson,CL3,Saturday,Afternoon,164.7127622,88.01407136,308.249506
Clemson,132,Saturday,Afternoon,37.31815951,19.95640015,69.7843809
Clemson,124,Saturday,Afternoon,84.6862686,45.25405176,158.4778337
Clemson,202,Saturday,Afternoon,36.70522457,19.62772602,68.64134487
Clemson,105,Saturday,Afternoon,105.1248984,56.20819175,196.6126985
Clemson,219,Saturday,Afternoon,26.63110752,14.23350098,49.82722722
Clemson,227,Saturday,Afternoon,41.63265684,22.2606766,77.86277779
Clemson,221,Saturday,Afternoon,35.19987395,18.81218209,65.86323268
Clemson,102,Saturday,Afternoon,51.15449325,27.35414563,95.66309308
Clemson,222,Saturday,Afternoon,38.96485087,20.83385861,72.87462354
Clemson,104,Saturday,Afternoon,77.67039098,41.53598355,145.2400815
Clemson,CL1,Saturday,Afternoon,148.8500171,79.50309104,278.6851089
Clemson,214,Saturday,Afternoon,33.12056962,17.70901699,61.94427011
Clemson,107,Saturday,Afternoon,111.028775,59.36788512,207.6440632
Clemson,223,Saturday,Afternoon,42.68304106,22.8147913,79.85354634
Clemson,201,Saturday,Afternoon,30.40786717,16.25664998,56.87754777
Clemson,CL4,Saturday,Afternoon,136.9639943,73.16034718,256.4112453
Clemson,207,Saturday,Afternoon,37.36392432,19.97445065,69.89242736
Clemson,206U,Saturday,Afternoon,35.45009865,18.93931658,66.35453234
Clemson,225,Saturday,Afternoon,59.13757114,31.60824636,110.6436681
Clemson,106,Saturday,Afternoon,121.8876953,65.12889775,228.1108812
Clemson,224L,Saturday,Afternoon,70.70011241,37.79665878,132.2472953
Clemson,218,Saturday,Afternoon,36.33920397,19.42177543,67.99263795
Clemson,204U,Saturday,Afternoon,45.30499628,24.21539395,84.76189535
Clemson,208,Saturday,Afternoon,32.53574052,17.38128842,60.90310374
Clemson,224U,Saturday,Afternoon,38.26851549,20.45425962,71.5977652
Clemson,206L,Saturday,Afternoon,48.17072671,25.70039601,90.28728236
Clemson,130,Saturday,Afternoon,39.97867489,21.25262217,75.2045763
Clemson,229,Saturday,Afternoon,31.79381283,16.97576921,59.54643477
Clemson,203L,Saturday,Afternoon,46.6442389,24.86714336,87.49235851
Clemson,203U,Saturday,Afternoon,40.77614609,21.7745086,76.35966079
Clemson,204L,Saturday,Afternoon,53.12879601,28.28392764,99.79763073
Clemson,226U,Saturday,Afternoon,38.86142153,20.77255141,72.70219501
Clemson,110,Saturday,Afternoon,49.59222887,26.44838927,92.98823981
Clemson,131,Saturday,Afternoon,40.88704232,21.81208452,76.64330425
Clemson,205U,Saturday,Afternoon,39.18463238,20.94172296,73.31944069
Clemson,205L,Saturday,Afternoon,55.99021367,29.77278695,105.2942753
Clemson,TT3,Saturday,Afternoon,89.84873749,37.05394824,217.8660038
Clemson,TT1,Saturday,Afternoon,392.6794513,161.9240201,952.2808991
Clemson,128,Saturday,Night,69.51767434,37.17227088,130.0083888
Clemson,123,Saturday,Night,70.14464864,37.49559125,131.2226736
Clemson,111,Saturday,Night,48.21475672,25.77816977,90.17951181
Clemson,228,Saturday,Night,40.09479208,21.43709178,74.99115869
Clemson,109,Saturday,Night,72.38907465,38.68639731,135.45273
Clemson,217,Saturday,Night,34.24604308,18.30773902,64.05987466
Clemson,CL2,Saturday,Night,168.5611712,90.08016755,315.4175796
Clemson,108,Saturday,Night,92.76705593,49.59164942,173.5317693
Clemson,129,Saturday,Night,58.77348927,31.4281058,109.911907
