	Opponent	Section	Day	Time	prediction	lower_bound	upper_bound
224	Alcorn State	218	Thursday	Night	24.780395431822	13.1327227577951	46.7586203624819
225	Alcorn State	204U	Thursday	Night	21.8120236259153	11.5764158698929	41.0977266197581
226	Alcorn State	208	Thursday	Night	18.1645061467915	9.56063756601296	34.5112217965213
227	Alcorn State	224U	Thursday	Night	18.1429922104355	9.62592469320067	34.1960047308946
228	Alcorn State	206L	Thursday	Night	32.4554673794964	16.9490906362114	62.1483114009124
229	Alcorn State	130	Thursday	Night	44.5895454663848	20.7065332199511	96.0193357226552
230	Alcorn State	229	Thursday	Night	41.9591582301006	22.0051316673094	80.007290390091
231	Alcorn State	203L	Thursday	Night	28.8913526354632	15.1255542123129	55.1854329031591
232	Alcorn State	203U	Thursday	Night	23.5001608254961	12.1282867155949	45.5346721078152
233	Alcorn State	204L	Thursday	Night	40.6043824514768	20.7588229918308	79.4224159488532
234	Alcorn State	226U	Thursday	Night	20.2564138507908	10.7116650405266	38.3061177269913
235	Alcorn State	110	Thursday	Night	26.8598135472758	13.9057027119174	51.8815624597043
236	Alcorn State	131	Thursday	Night	21.6852699544288	11.5161613685779	40.8339999715132
237	Alcorn State	205U	Thursday	Night	22.180088467508	11.7326113179705	41.9306760527356
238	Alcorn State	205L	Thursday	Night	35.3032319355088	18.2178487139875	68.411929677263
239	Alcorn State	TT3	Thursday	Night	69.7973884192627	32.4043507503736	150.340164741405
240	Alcorn State	TT1	Thursday	Night	208.26549009176	85.8596782262901	505.179092901371
241	Clemson	128	Saturday	Noon	55.1884091186869	29.5308544347882	103.138245043922
242	Clemson	123	Saturday	Noon	55.6861489240941	29.7875877068384	104.101990819636
243	Clemson	111	Saturday	Noon	38.2765353455747	20.4791880423358	71.540588183101
244	Clemson	228	Saturday	Noon	31.8302907810891	17.0304769629862	59.4914290075782
245	Clemson	109	Saturday	Noon	57.4679447348203	30.7339923208066	107.45641625636
246	Clemson	217	Saturday	Noon	27.1871096700781	14.5447457315941	50.8182780127461
247	Clemson	CL2	Saturday	Noon	133.816658330947	71.5633959921449	250.224263376586
248	Clemson	108	Saturday	Noon	73.6455337937588	39.3974542978315	137.665357938272
249	Clemson	129	Saturday	Noon	46.6588590829048	24.9669907907158	87.1970975263836
250	Clemson	211	Saturday	Noon	26.4190153376514	14.1261004256841	49.4095575125615
251	Clemson	127	Saturday	Noon	78.1665702336048	41.8118307444936	146.131192853585
252	Clemson	122	Saturday	Noon	44.8140536547688	23.9656617130904	83.7990383497541
253	Clemson	210	Saturday	Noon	25.7997742000977	13.8004356681242	48.2324156123185
254	Clemson	216	Saturday	Noon	25.5939617818092	13.6897842549484	47.8496130756723
255	Clemson	215	Saturday	Noon	31.4002009643668	16.7939249969297	58.7100764581761
256	Clemson	121	Saturday	Noon	39.3745921037902	21.0604497672087	73.6146910667493
257	Clemson	213	Saturday	Noon	25.9957391110099	13.9063655874896	48.5949004918746
258	Clemson	212	Saturday	Noon	25.642469682956	13.7155840747564	47.9408130093067
259	Clemson	101	Saturday	Noon	32.8660875356579	17.5831397935225	61.4326976061156
260	Clemson	103	Saturday	Noon	54.7584245257676	29.2894867739016	102.37410712215
261	Clemson	226L	Saturday	Noon	46.622584926664	24.9228842774687	87.2156449086868
